"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"DRT","30",2020-07-24,"Propios","1218","9","28","1","0","2","1","7","0","0","0","0","0",1
"DRT","30",2020-07-24,"Contratistas","4710","10","31","0","0","11","0","8","0","0","0","0","0",0
"DRT","30",2020-07-25,"Propios","1218","9","29","4","1","5","2","0","0","0","0","0","0",5
"DRT","30",2020-07-25,"Contratistas","4710","13","33","0","1","13","8","0","0","0","0","0","0",1
"DRT","30",2020-07-26,"Propios","1218","7","28","0","0","2","0","0","0","0","0","0","0",0
"DRT","30",2020-07-26,"Contratistas","4710","11","32","0","0","4","0","0","0","0","0","0","0",0
"DVEN","30",2020-07-20,"Propios","852","6","11","0","0","0","0","100","1","3","0","0","0",0
"DVEN","30",2020-07-20,"Contratistas","1085","3","13","0","0","0","0","40","0","3","0","0","0",0
"DVEN","30",2020-07-21,"Propios","852","6","12","1","0","1","1","60","0","13","1","1","2",1
"DVEN","30",2020-07-21,"Contratistas","1085","5","13","0","0","0","0","30","0","1","0","0","0",0
"DVEN","30",2020-07-22,"Propios","852","6","12","0","0","0","0","33","0","6","0","0","0",0
"DVEN","30",2020-07-22,"Contratistas","1085","5","13","0","0","0","0","120","0","1","0","0","0",0
"DVEN","30",2020-07-23,"Propios","852","4","12","0","0","0","0","75","0","0","0","0","0",0
"DVEN","30",2020-07-23,"Contratistas","1085","5","14","1","1","1","1","36","0","2","0","0","0",2
"DVEN","30",2020-07-24,"Propios","852","4","12","0","0","3","0","32","0","11","3","0","0",0
"DVEN","30",2020-07-24,"Contratistas","1085","6","14","0","0","0","0","78","0","2","0","0","0",0
"DVEN","30",2020-07-25,"Propios","852","4","12","0","0","8","0","78","0","42","8","0","0",0
"DVEN","30",2020-07-25,"Contratistas","1085","6","14","0","0","3","0","24","0","12","3","0","0",0
